Year,SERIES,Reference area,GeoCode,Value
2016,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,,4.0
2017,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,,4.1
2020,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,,3.3
2021,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,,3.7
