Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2015,SH_MDD_CHLD,,,Y0T2,PT,,29
2018,SH_MDD_CHLD,,,Y0T2,PT,,40
2021,SH_MDD_CHLD,,,Y0T2,PT,,33
2024,SH_MDD_CHLD,,,Y0T2,PT,,45
2018,SH_MDD_WMN,,F,Y15T49,PT,,28
2021,SH_MDD_WMN,,F,Y15T49,PT,,32
2024,SH_MDD_WMN,,F,Y15T49,PT,,41
