Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,"Broadband
(≥256kbps)",RURA,IT_NET_BBND,,PER_100_POP,,0.1
2020,"Broadband
(≥256kbps)",RURA,IT_NET_BBND,,PER_100_POP,,0.1
2021,"Broadband
(≥256kbps)",RURA,IT_NET_BBND,,PER_100_POP,,0.3
2022,"Broadband
(≥256kbps)",RURA,IT_NET_BBND,,PER_100_POP,,0.4
2023,"Broadband
(≥256kbps)",RURA,IT_NET_BBND,,PER_100_POP,,0.5
2024,"Broadband
(≥256kbps)",RURA,IT_NET_BBND,,PER_100_POP,,0.5
2019,"Broadband
(≥256kbps)",RURA,IT_NET_BBNDN,,NUMBER,,9420.0
2020,"Broadband
(≥256kbps)",RURA,IT_NET_BBNDN,,NUMBER,,17685.0
2021,"Broadband
(≥256kbps)",RURA,IT_NET_BBNDN,,NUMBER,,31902.0
2022,"Broadband
(≥256kbps)",RURA,IT_NET_BBNDN,,NUMBER,,47772.0
2023,"Broadband
(≥256kbps)",RURA,IT_NET_BBNDN,,NUMBER,,62175.0
2024,"Broadband
(≥256kbps)",RURA,IT_NET_BBNDN,,NUMBER,,74091.0
