Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2010,DC_ODA_POVG,,PT,,7.87
2011,DC_ODA_POVG,,PT,,6.74
2012,DC_ODA_POVG,,PT,,7.54
2013,DC_ODA_POVG,,PT,,4.51
2014,DC_ODA_POVG,,PT,,7.09
2016,DC_ODA_POVG,,PT,,5.42
2017,DC_ODA_POVG,,PT,,5.13
2018,DC_ODA_POVG,,PT,,4.13
2019,DC_ODA_POVG,,PT,,4.45
2020,DC_ODA_POVG,,PT,,4.67
2021,DC_ODA_POVG,,PT,,7.12
2022,DC_ODA_POVG,,PT,,4.97
