Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,5.0
2016,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,5.0
2017,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,6.0
2018,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,6.0
2019,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,9.0
2020,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,14.0
2021,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,10.9
2022,A,0,_X,Unsentenced detainees as a proportion of overall prison population,A,N,VC_PRS_UNSNT,,PT,,13.6
2016,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,2543.0
2017,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,3675.0
2018,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,3715.0
2019,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,6373.0
2020,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,6373.0
2021,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,9697.0
2022,A,0,_X,Unsentenced detainees (number),A,N,VC_PRS_UNSNTN,,NUMBER,,12239.0
