Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2011,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,7956736.0
2012,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,10418880.0
2013,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,5102809.0
2014,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,408926.0
2015,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,5094083.0
2016,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,6574017.0
2017,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,8400241.4
2018,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,7426903.8
2019,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,5200425.3
2020,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars), PARIS21,SG_STT_CAPTY,,USD,,520447.0
