Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,74.2
2014,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,75.3
2015,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,75.4
2016,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,77.0
2017,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,76.8
2018,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,73.0
2019,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,82.0
2020,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,84.2
2021,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,87.1
2023,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,84.0
2024,A,0,_X,Percentage of citizen satisfaction in their participation in decision making,A,N,_L_RW_160702_1,,PT,,88.4
