Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,1.59
2017,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,0.69
2018,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,2.1
2019,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,1.08
2020,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,2.35
2021,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,0.9
2022,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,1.55
2023,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,1.8
2024,"Number of deaths due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_MORT,,PER_100000_POP,,1.38
2016,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,1.51
2017,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,1.28
2018,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,2.86
2019,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,2.19
2020,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,3.27
2021,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,1.91
2022,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,3.04
2023,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,3.01
2024,"Number of persons injured or missing due to disaster per 100,000 population","Annual disaster effects situation report , MINEMA",VC_DSR_AFFCT,,PER_100000_POP,,3.25
