Year,SERIES,REF_AREA,GeoCode,Value
2012,SL_EMP_GTOTL,,,43.1
2013,SL_EMP_GTOTL,,,44.3
2014,SL_EMP_GTOTL,,,44.0
2015,SL_EMP_GTOTL,,,43.2
2016,SL_EMP_GTOTL,,,44.0
2017,SL_EMP_GTOTL,,,44.6
2018,SL_EMP_GTOTL,,,43.2
2019,SL_EMP_GTOTL,,,43.0
2020,SL_EMP_GTOTL,,,44.2
