Year,SERIES,REF_AREA,GeoCode,Value
2016,_L_RW_171101_1,,,1534.4
2017,_L_RW_171101_1,,,1979.9
2018,_L_RW_171101_1,,,2039.2
2020,_L_RW_171101_1,,,2159.7
