Year,SERIES,REF_AREA,GeoCode,Value
2005,EG_ACS_ELEC,,,5.0
2010,EG_ACS_ELEC,,,10.0
2012,EG_ACS_ELEC,,,18.6
2015,EG_ACS_ELEC,,,23.0
2020,EG_ACS_ELEC,,,46.0
2022,EG_ACS_ELEC,,,61.0
