Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2016,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,86.2
2017,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,84.6
2018,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,83.5
2019,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,83.5
2021,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,82.0
2022,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,84.1
2023,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,83.3
2024,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,,PT,,85.5
2017,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,66.4
2018,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,66.3
2019,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,64.5
2021,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,66.3
2022,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,68.2
2023,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,65.2
2024,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,M,PT,,63.3
2017,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,33.6
2018,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,33.7
2019,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,35.5
2021,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,33.3
2022,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,33.8
2023,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,34.8
2024,Proportion of informal employment in non-agriculture employment,"LFS, NISR",SL_ISV_IFRM,,F,PT,,36.7
