Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2000,SI_POV_DAY1,,PT,,82.3
2005,SI_POV_DAY1,,PT,,74.2
2010,SI_POV_DAY1,,PT,,70.2
2013,SI_POV_DAY1,,PT,,65.2
2016,SI_POV_DAY1,,PT,,63.8
2023,SI_POV_DAY1,,PT,,38.6
