Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,56.4
2016,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,64.0
2018,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,61.0
2019,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,61.3
2020,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,61.3
2021,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,61.3
2022,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,61.3
2023,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,61.0
2024,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_1,,PT,,63.8
2014,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.5
2016,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2018,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2019,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2020,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2021,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2022,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2023,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,38.0
2024,A,0,_X,Proportion of seats held by women in national parliaments (% of total number of seats),A,N,_L_RW_050501_2,,PT,,53.8
2014,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_3,,PT,,25.0
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_3,,PT,,40.0
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_3,,PT,,40.0
2014,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_4,,PT,,6.6
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_4,,PT,,16.7
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_4,,PT,,30.0
2021,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_4,,PT,,29.6
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_5,,PT,,20.0
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_5,,PT,,16.7
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_6,,PT,,76.7
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_6,,PT,,66.7
2014,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_7,,PT,,44.8
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_7,,PT,,45.2
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_7,,PT,,45.2
2021,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_7,,PT,,63.0
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_8,,PT,,42.5
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_8,,PT,,42.7
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_9,,PT,,34.5
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_9,,PT,,41.6
2014,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_10,,PT,,6.7
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_10,,PT,,7.0
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_10,,PT,,10.0
2014,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_11,,PT,,9.1
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_11,,PT,,11.0
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_11,,PT,,17.0
2014,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_12,,PT,,37.7
2016,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_12,,PT,,35.0
2018,A,0,_X,Proportion of seats held by women in local governments (% of total number of seats),A,N,_L_RW_050501_12,,PT,,36.0
