Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2018,ST_GDP_ZS,,PT,,3.4
2019,ST_GDP_ZS,,PT,,4.9
2020,ST_GDP_ZS,,PT,,1.3
2024,ST_GDP_ZS,,PT,,4.3
