Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2023,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,"Rwanda Governance Score Card, RGB",VC_VAW_SXVLN,,M,PT,,5.3
2024,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,"Rwanda Governance Score Card, RGB",VC_VAW_SXVLN,,M,PT,,5.1
2023,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,"Rwanda Governance Score Card, RGB",VC_VAW_SXVLN,,F,PT,,11.8
2024,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,"Rwanda Governance Score Card, RGB",VC_VAW_SXVLN,,F,PT,,10.8
