Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",_L_RW_160b01_1,,PT,,0.3
2021,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",_L_RW_160b01_1,,PT,,0.1
2022,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",_L_RW_160b01_1,,PT,,0.1
2023,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",_L_RW_160b01_1,,PT,,0.2
