Year,SERIES,REF_AREA,URBANISATION,GeoCode,Value
2014,_L_RW_110101_1,,U,,62.6
2017,_L_RW_110101_1,,U,,52.5
2022,_L_RW_110101_1,,U,,25.0
2024,_L_RW_110101_1,,U,,22.4
