Year,Series,Units,Value
2015,CL_SERIES.IS_TRP_MAILTKM,CL_UNIT_MEASURE.T,304.96
2016,CL_SERIES.IS_TRP_MAILTKM,CL_UNIT_MEASURE.T,249.86
2017,CL_SERIES.IS_TRP_MAILTKM,CL_UNIT_MEASURE.T,266.55
2018,CL_SERIES.IS_TRP_MAILTKM,CL_UNIT_MEASURE.T,339.7
2019,CL_SERIES.IS_TRP_MAILTKM,CL_UNIT_MEASURE.T,254.87
2015,CL_SERIES.IS_RDP_FRGVOL,CL_UNIT_MEASURE.T,7577.46
2016,CL_SERIES.IS_RDP_FRGVOL,CL_UNIT_MEASURE.T,6660.87
2017,CL_SERIES.IS_RDP_FRGVOL,CL_UNIT_MEASURE.T,8226.09
2018,CL_SERIES.IS_RDP_FRGVOL,CL_UNIT_MEASURE.T,10732.41
2019,CL_SERIES.IS_RDP_FRGVOL,CL_UNIT_MEASURE.T,12094.79
2015,CL_SERIES.IS_RDP_PFVOL,CL_UNIT_MEASURE.NUMBER,641817.0
2016,CL_SERIES.IS_RDP_PFVOL,CL_UNIT_MEASURE.NUMBER,706075.0
2017,CL_SERIES.IS_RDP_PFVOL,CL_UNIT_MEASURE.NUMBER,825585.0
2018,CL_SERIES.IS_RDP_PFVOL,CL_UNIT_MEASURE.NUMBER,977631.0
2019,CL_SERIES.IS_RDP_PFVOL,CL_UNIT_MEASURE.NUMBER,1145867.0
