Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2000,SH_SAN_SAFE,,,PT,,51.5
2005,SH_SAN_SAFE,,,PT,,58.5
2011,SH_SAN_SAFE,,,PT,,74.5
2014,SH_SAN_SAFE,,,PT,,83.4
2017,SH_SAN_SAFE,,,PT,,86.2
2021,SH_SAN_SAFE,,,PT,,89.6
2024,SH_SAN_SAFE,,,PT,,94.3
2011,SH_SAN_SAFE,,U,PT,,87.4
2014,SH_SAN_SAFE,,U,PT,,93.5
2017,SH_SAN_SAFE,,U,PT,,93.6
2024,SH_SAN_SAFE,,U,PT,,98.2
2000,SH_SAN_SAFE,,R,PT,,47.5
2005,SH_SAN_SAFE,,R,PT,,55.3
2011,SH_SAN_SAFE,,R,PT,,72.2
2014,SH_SAN_SAFE,,R,PT,,81.3
2017,SH_SAN_SAFE,,R,PT,,84.4
2024,SH_SAN_SAFE,,R,PT,,92.7
2010,SH_SAN_HNDWSH,,,PT,,2.1
2015,SH_SAN_HNDWSH,,,PT,,4.3
2019,SH_SAN_HNDWSH,,,PT,,25.1
2010,SH_SAN_HNDWSH,,U,PT,,6.0
2015,SH_SAN_HNDWSH,,U,PT,,13.0
2019,SH_SAN_HNDWSH,,U,PT,,36.8
2010,SH_SAN_HNDWSH,,R,PT,,1.5
2015,SH_SAN_HNDWSH,,R,PT,,2.5
2019,SH_SAN_HNDWSH,,R,PT,,22.7
