Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,66.2
2015,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,70.4
2016,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,72.9
2017,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,74.3
2018,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,70.5
2019,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,78.3
2020,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,81.9
2021,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,77.7
2022,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,78.3
2023,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,75.0
2024,Citizens' satisfaction with service delivery,"Rwanda Governance Score Card, RGB",_L_RW_160602_1,,PT,,76.1
