Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,SD_SDG_AVLB,,PT,,24
2020,SD_SDG_AVLB,,PT,,27
2021,SD_SDG_AVLB,,PT,,30
2022,SD_SDG_AVLB,,PT,,32
2023,SD_SDG_AVLB,,PT,,36
