Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,GF_XPD_GBPC,,PT,,47.2
2019,GF_XPD_GBPC,,PT,,49.0
2020,GF_XPD_GBPC,,PT,,50.0
