Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,17.5
2016,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,24.4
2017,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,23.9
2018,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,20.4
2019,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,18.5
2020,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,19.2
2021,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,22.9
2022,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,29.1
2023,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,23.5
2024,Percentage  of citizens who have encountered corruption while interacting with service providers,"Rwanda Governance Score Card, RGB",_L_RW_160501_1,,PT,,13.2
