Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,AG_LND_FRSTBIOM,,PT,,14.1
2019,AG_LND_FRSTBIOM,,PT,,33.0
2022,AG_LND_FRSTBIOM,,PT,,38.5
