Year,SERIES,REF_AREA,GeoCode,Value
2008,GB_POP_SCIERD,,,10.9
2009,GB_POP_SCIERD,,,12.6
2013,GB_POP_SCIERD,,,15.5
2016,GB_POP_SCIERD,,,13.9
2019,GB_POP_SCIERD,,,58.8
