Year,COMMENT_OBS,Units,Value
2016,Water Use Efficiency (United States dollars per cubic meter),United States dollars per cubic metre,35.0
2017,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Percent,7.0
