Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,66.2
2015,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,70.4
2016,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,72.9
2017,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,74.3
2018,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,70.5
2019,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,78.3
2020,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,81.9
2021,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,77.7
2022,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,78.3
2023,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,75.0
2024,A,0,_X,Citizens' satisfaction with service delivery,A,N,_L_RW_160602_1,,PT,,76.1
