Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2012,Normal value,Units,Not Available,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,Annual,National,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,,Percent,,10.1
2016,Normal value,Units,Not Available,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,Annual,National,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,,Percent,,35.0
2021,Normal value,Units,Not Available,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,Annual,National,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,,Percent,,53.0
