Year,Value,GeoCode,SERIES
2016,1.59,,VC_DSR_MORT_1
2017,0.69,,VC_DSR_MORT_1
2018,2.1,,VC_DSR_MORT_1
2019,1.08,,VC_DSR_MORT_1
2020,2.35,,VC_DSR_MORT_1
2021,0.9,,VC_DSR_MORT_1
2022,1.55,,VC_DSR_MORT_1
2023,1.8,,VC_DSR_MORT_1
2024,1.38,,VC_DSR_MORT_1
2016,1.51,,VC_DSR_AFFCT_1
2017,1.28,,VC_DSR_AFFCT_1
2018,2.86,,VC_DSR_AFFCT_1
2019,2.19,,VC_DSR_AFFCT_1
2020,3.27,,VC_DSR_AFFCT_1
2021,1.91,,VC_DSR_AFFCT_1
2022,3.04,,VC_DSR_AFFCT_1
2023,3.01,,VC_DSR_AFFCT_1
2024,3.25,,VC_DSR_AFFCT_1
