Year,Value,GeoCode,SERIES
2015,305.0,,IS_TRP_MAILTKM
2016,249.9,,IS_TRP_MAILTKM
2017,266.6,,IS_TRP_MAILTKM
2018,339.7,,IS_TRP_MAILTKM
2019,254.9,,IS_TRP_MAILTKM
2020,173.6,,IS_TRP_MAILTKM
2015,7577.5,,IS_RDP_FRGVOL
2016,6660.9,,IS_RDP_FRGVOL
2017,8226.1,,IS_RDP_FRGVOL
2018,10732.4,,IS_RDP_FRGVOL
2019,12094.8,,IS_RDP_FRGVOL
2020,11176.7,,IS_RDP_FRGVOL
2015,641817.0,,IS_RDP_PFVOL
2016,771454.0,,IS_RDP_PFVOL
2017,856167.0,,IS_RDP_PFVOL
2018,1151300.0,,IS_RDP_PFVOL
2019,1145867.0,,IS_RDP_PFVOL
2020,277942.0,,IS_RDP_PFVOL
2021,614215.0,,IS_RDP_PFVOL
2022,788386.0,,IS_RDP_PFVOL
