Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,1.4,,PER_100000_POP,SH_STA_SCIDE
2016,1.6,,PER_100000_POP,SH_STA_SCIDE
2017,1.6,,PER_100000_POP,SH_STA_SCIDE
2018,1.8,,PER_100000_POP,SH_STA_SCIDE
2019,1.9,,PER_100000_POP,SH_STA_SCIDE
2020,2.3,,PER_100000_POP,SH_STA_SCIDE
2021,2.7,,PER_100000_POP,SH_STA_SCIDE
2022,2.8,,PER_100000_POP,SH_STA_SCIDE
2015,157.0,,NUMBER,SH_STA_SCIDEN
2016,181.0,,NUMBER,SH_STA_SCIDEN
2017,193.0,,NUMBER,SH_STA_SCIDEN
2018,226.0,,NUMBER,SH_STA_SCIDEN
2019,241.0,,NUMBER,SH_STA_SCIDEN
2020,298.0,,NUMBER,SH_STA_SCIDEN
2021,353.0,,NUMBER,SH_STA_SCIDEN
2022,370.0,,NUMBER,SH_STA_SCIDEN
