Year,Value,GeoCode,UNIT_MEASURE,SERIES
2013,35,,PT,SH_IHR_CAPS
2014,41,,PT,SH_IHR_CAPS
2015,41,,PT,SH_IHR_CAPS
2017,66,,PT,SH_IHR_CAPS
2018,67,,PT,SH_IHR_CAPS
2019,71,,PT,SH_IHR_CAPS
2020,73,,PT,SH_IHR_CAPS
2021,67,,PT,SH_IHR_CAPS
2022,65,,PT,SH_IHR_CAPS
2023,68,,PT,SH_IHR_CAPS
2024,55,,PT,SH_IHR_CAPS
