Year,Value,GeoCode,UNIT_MEASURE,SERIES
2001,5.7,,PT,NY_GDP_PCAP
2002,10.4,,PT,NY_GDP_PCAP
2003,-0.3,,PT,NY_GDP_PCAP
2004,3.7,,PT,NY_GDP_PCAP
2005,6.9,,PT,NY_GDP_PCAP
2006,6.8,,PT,NY_GDP_PCAP
2007,5.3,,PT,NY_GDP_PCAP
2008,7.6,,PT,NY_GDP_PCAP
2009,4.1,,PT,NY_GDP_PCAP
2010,4.1,,PT,NY_GDP_PCAP
2011,5.8,,PT,NY_GDP_PCAP
2012,5.5,,PT,NY_GDP_PCAP
2013,2.8,,PT,NY_GDP_PCAP
2014,3.3,,PT,NY_GDP_PCAP
2015,6.0,,PT,NY_GDP_PCAP
2016,4.1,,PT,NY_GDP_PCAP
2017,1.3,,PT,NY_GDP_PCAP
2018,5.8,,PT,NY_GDP_PCAP
2019,6.8,,PT,NY_GDP_PCAP
2020,-5.7,,PT,NY_GDP_PCAP
2021,8.3,,PT,NY_GDP_PCAP
2022,5.7,,PT,NY_GDP_PCAP
2023,5.9,,PT,NY_GDP_PCAP
2024,6.5,,PT,NY_GDP_PCAP
