Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,23.3,,PT,FI_FSI_FSKA
2018,25.5,,PT,FI_FSI_FSKA
2019,24.1,,PT,FI_FSI_FSKA
2020,21.5,,PT,FI_FSI_FSKA
2021,21.5,,PT,FI_FSI_FSKA
2022,21.7,,PT,FI_FSI_FSKA
2023,21.5,,PT,FI_FSI_FSKA
2016,20.7,,PT,FI_FSI_FSKRTC
2018,20.8,,PT,FI_FSI_FSKRTC
2019,22.6,,PT,FI_FSI_FSKRTC
2020,20.3,,PT,FI_FSI_FSKRTC
2021,20.6,,PT,FI_FSI_FSKRTC
2022,20.9,,PT,FI_FSI_FSKRTC
2023,20.3,,PT,FI_FSI_FSKRTC
2016,17.1,,PT,FI_FSI_FSKNL
2018,11.0,,PT,FI_FSI_FSKNL
2019,11.0,,PT,FI_FSI_FSKNL
2020,5.7,,PT,FI_FSI_FSKNL
2021,4.3,,PT,FI_FSI_FSKNL
2016,7.6,,PT,FI_FSI_FSANL
2018,6.4,,PT,FI_FSI_FSANL
2019,4.9,,PT,FI_FSI_FSANL
2020,9.0,,PT,FI_FSI_FSANL
2021,6.4,,PT,FI_FSI_FSANL
2016,2.6,,PT,FI_FSI_FSERA
2018,2.8,,PT,FI_FSI_FSERA
2019,12.5,,PT,FI_FSI_FSERA
2020,2.5,,PT,FI_FSI_FSERA
2016,111.9,,PT,FI_FSI_FSLS
2018,129.6,,PT,FI_FSI_FSLS
2019,180.5,,PT,FI_FSI_FSLS
2020,226.2,,PT,FI_FSI_FSLS
2021,180.5,,PT,FI_FSI_FSLS
2016,-1.6,,PT,FI_FSI_FSSNO
2018,-9.1,,PT,FI_FSI_FSSNO
2019,-4.0,,PT,FI_FSI_FSSNO
2020,-4.7,,PT,FI_FSI_FSSNO
