Year,Value,GeoCode,UNIT_MEASURE,SERIES
2017,36.7,,PT,IT_MOB_OWN
2020,54.8,,PT,IT_MOB_OWN
2022,58.6,,PT,IT_MOB_OWN
2024,85.0,,PT,IT_MOB_OWN
