Year,Value,Units,Series
2018,0.02,CL_UNIT_MEASURE.RO,CL_SERIES.VC_DSR_LSGP
2016,2.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_HFDN
2017,3.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_HFDN
2018,3.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_HFDN
2019,1.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_HFDN
2016,82.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_EFDN
2017,203.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_EFDN
2018,73.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_EFDN
2019,203.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_DSR_EFDN
