Year,Value,GeoCode,UNIT_MEASURE,SERIES
2000,64.4,,PT,SH_H20_SAFE_1_4_1
2005,64.2,,PT,SH_H20_SAFE_1_4_1
2011,74.2,,PT,SH_H20_SAFE_1_4_1
2014,84.8,,PT,SH_H20_SAFE_1_4_1
2017,87.4,,PT,SH_H20_SAFE_1_4_1
2021,89.2,,PT,SH_H20_SAFE_1_4_1
2024,89.7,,PT,SH_H20_SAFE_1_4_1
2000,51.5,,PT,SH_SAN_SAFE_1_4_1
2005,58.5,,PT,SH_SAN_SAFE_1_4_1
2011,74.5,,PT,SH_SAN_SAFE_1_4_1
2014,83.4,,PT,SH_SAN_SAFE_1_4_1
2017,86.2,,PT,SH_SAN_SAFE_1_4_1
2021,89.6,,PT,SH_SAN_SAFE_1_4_1
2024,94.3,,PT,SH_SAN_SAFE_1_4_1
2010,2.1,,PT,SH_SAN_HNDWSH_1_4_1
2015,4.3,,PT,SH_SAN_HNDWSH_1_4_1
2019,25.1,,PT,SH_SAN_HNDWSH_1_4_1
2014,0.2,,PT,EG_EGY_CLEAN_1_4_1
2017,1.1,,PT,EG_EGY_CLEAN_1_4_1
2021,4.2,,PT,EG_EGY_CLEAN_1_4_1
2024,5.4,,PT,EG_EGY_CLEAN_1_4_1
2011,86.3,,PT,SP_TRN_PUBL_1_4_1
2014,86.6,,PT,SP_TRN_PUBL_1_4_1
2017,87.5,,PT,SP_TRN_PUBL_1_4_1
2024,89.5,,PT,SP_TRN_PUBL_1_4_1
2011,5.0,,PT,EN_REF_COLDIS_1_4_1
2014,6.2,,PT,EN_REF_COLDIS_1_4_1
2017,8.3,,PT,EN_REF_COLDIS_1_4_1
2021,9.9,,PT,EN_REF_COLDIS_1_4_1
2024,11.0,,PT,EN_REF_COLDIS_1_4_1
2010,45.3,,PT,SH_ACS_UNHC_1_4_1
2015,53.1,,PT,SH_ACS_UNHC_1_4_1
2020,53.7,,PT,SH_ACS_UNHC_1_4_1
2005,65.3,,PT,SE_ADT_LITR_1_4_1
2011,69.5,,PT,SE_ADT_LITR_1_4_1
2014,72.1,,PT,SE_ADT_LITR_1_4_1
2017,73.2,,PT,SE_ADT_LITR_1_4_1
2021,72.4,,PT,SE_ADT_LITR_1_4_1
2024,75.8,,PT,SE_ADT_LITR_1_4_1
2014,74.1,,PT,SE_ADT_NUMR_1_4_1
2017,73.4,,PT,SE_ADT_NUMR_1_4_1
2021,73.3,,PT,SE_ADT_NUMR_1_4_1
2024,77.6,,PT,SE_ADT_NUMR_1_4_1
2013,98.7,,PT,IT_MOB_3GNTWK_1_4_1
2014,72.1,,PT,IT_MOB_3GNTWK_1_4_1
2015,88.0,,PT,IT_MOB_3GNTWK_1_4_1
2016,91.9,,PT,IT_MOB_3GNTWK_1_4_1
2017,93.1,,PT,IT_MOB_3GNTWK_1_4_1
2018,93.4,,PT,IT_MOB_3GNTWK_1_4_1
2019,97.4,,PT,IT_MOB_3GNTWK_1_4_1
2020,96.0,,PT,IT_MOB_3GNTWK_1_4_1
2021,98.6,,PT,IT_MOB_3GNTWK_1_4_1
2022,98.7,,PT,IT_MOB_3GNTWK_1_4_1
2023,99.1,,PT,IT_MOB_3GNTWK_1_4_1
