Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,5.8,,PER_100000_POP,FB_ATM_TOTL
2016,6.0,,PER_100000_POP,FB_ATM_TOTL
2017,5.9,,PER_100000_POP,FB_ATM_TOTL
2018,5.4,,PER_100000_POP,FB_ATM_TOTL
2019,5.3,,PER_100000_POP,FB_ATM_TOTL
2020,5.2,,PER_100000_POP,FB_ATM_TOTL
2022,4.4,,PER_100000_POP,FB_ATM_TOTL
2023,4.3,,PER_100000_POP,FB_ATM_TOTL
2024,4.4,,PER_100000_POP,FB_ATM_TOTL
2015,8.2,,PER_100000_POP,FB_CBK_BRCH
2016,8.2,,PER_100000_POP,FB_CBK_BRCH
2017,7.4,,PER_100000_POP,FB_CBK_BRCH
2018,7.4,,PER_100000_POP,FB_CBK_BRCH
2019,6.9,,PER_100000_POP,FB_CBK_BRCH
