Year,Value,GeoCode,UNIT_MEASURE,SERIES
2000,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2001,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2002,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2003,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2004,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2005,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2006,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2007,0.1,,KG_PER_CON_USD,EN_ATM_CO2GDP
2008,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2009,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2010,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2011,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2012,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2013,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2014,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2015,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2016,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2017,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2018,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2019,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
2020,0.0,,KG_PER_CON_USD,EN_ATM_CO2GDP
