Year,Value,GeoCode,UNIT_MEASURE,SERIES
2013,2.9,,PER_100000_POP,SH_STA_TRAF
2014,3.3,,PER_100000_POP,SH_STA_TRAF
2015,5.2,,PER_100000_POP,SH_STA_TRAF
2016,5.1,,PER_100000_POP,SH_STA_TRAF
2017,4.6,,PER_100000_POP,SH_STA_TRAF
2018,4.9,,PER_100000_POP,SH_STA_TRAF
2019,5.4,,PER_100000_POP,SH_STA_TRAF
2020,5.2,,PER_100000_POP,SH_STA_TRAF
2021,4.9,,PER_100000_POP,SH_STA_TRAF
2022,6.0,,PER_100000_POP,SH_STA_TRAF
2023,5.9,,PER_100000_POP,SH_STA_TRAF
2013,315.0,,NUMBER,SH_STA_TRAFN
2014,366.0,,NUMBER,SH_STA_TRAFN
2015,351.0,,NUMBER,SH_STA_TRAFN
2016,593.0,,NUMBER,SH_STA_TRAFN
2017,549.0,,NUMBER,SH_STA_TRAFN
2018,597.0,,NUMBER,SH_STA_TRAFN
2019,673.0,,NUMBER,SH_STA_TRAFN
2020,675.0,,NUMBER,SH_STA_TRAFN
2021,663.0,,NUMBER,SH_STA_TRAFN
2022,794.0,,NUMBER,SH_STA_TRAFN
2023,794.0,,NUMBER,SH_STA_TRAFN
