Year,Value,GeoCode,UNIT_MEASURE,SERIES
2017,4.6,,PT,SE_ADT_ACTS
2020,5.2,,PT,SE_ADT_ACTS
2024,5.6,,PT,SE_ADT_ACTS
2017,4.3,,PT,_L_RW_040401_1
2020,7.3,,PT,_L_RW_040401_1
2024,5.5,,PT,_L_RW_040401_1
2017,2.8,,PT,_L_RW_040401_2
2020,3.8,,PT,_L_RW_040401_2
2024,4.4,,PT,_L_RW_040401_2
2017,2.6,,PT,_L_RW_040401_3
2020,3.6,,PT,_L_RW_040401_3
2024,4.4,,PT,_L_RW_040401_3
2017,2.6,,PT,_L_RW_040401_4
2020,4.0,,PT,_L_RW_040401_4
2024,4.5,,PT,_L_RW_040401_4
2017,1.6,,PT,_L_RW_040401_5
2020,2.3,,PT,_L_RW_040401_5
2024,3.3,,PT,_L_RW_040401_5
2017,0.9,,PT,_L_RW_040401_6
2020,1.8,,PT,_L_RW_040401_6
2024,2.5,,PT,_L_RW_040401_6
2017,1.8,,PT,_L_RW_040401_7
2020,3.3,,PT,_L_RW_040401_7
2024,4.6,,PT,_L_RW_040401_7
2017,1.8,,PT,_L_RW_040401_8
2020,0.9,,PT,_L_RW_040401_8
2024,1.3,,PT,_L_RW_040401_8
