Year,Value,Units,Series
2016,3.4,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2017,4.0,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2018,3.18,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2019,3.26,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2020,3.49,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2016,392.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2017,470.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2018,285.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2019,404.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2020,442.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
