Year,Value,Series
2018,97,CL_SERIES.SH_ACS_DTP3
2019,98,CL_SERIES.SH_ACS_DTP3
2018,92,CL_SERIES.SH_ACS_MCV2
2019,92,CL_SERIES.SH_ACS_MCV2
2018,97,CL_SERIES.SH_ACS_PCV3
2019,98,CL_SERIES.SH_ACS_PCV3
