Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,1.59,,PER_100000_POP,VC_DSR_MTMP
2017,0.69,,PER_100000_POP,VC_DSR_MTMP
2018,2.1,,PER_100000_POP,VC_DSR_MTMP
2019,1.08,,PER_100000_POP,VC_DSR_MTMP
2020,2.35,,PER_100000_POP,VC_DSR_MTMP
2021,0.9,,PER_100000_POP,VC_DSR_MTMP
2022,1.55,,PER_100000_POP,VC_DSR_MTMP
2023,1.8,,PER_100000_POP,VC_DSR_MTMP
2024,1.38,,PER_100000_POP,VC_DSR_MTMP
2016,1.51,,PER_100000_POP,VC_DSR_DAFF
2017,1.28,,PER_100000_POP,VC_DSR_DAFF
2018,2.86,,PER_100000_POP,VC_DSR_DAFF
2019,2.19,,PER_100000_POP,VC_DSR_DAFF
2020,3.27,,PER_100000_POP,VC_DSR_DAFF
2021,1.91,,PER_100000_POP,VC_DSR_DAFF
2022,3.04,,PER_100000_POP,VC_DSR_DAFF
2023,3.01,,PER_100000_POP,VC_DSR_DAFF
2024,3.25,,PER_100000_POP,VC_DSR_DAFF
