Year,Value,GeoCode,UNIT_MEASURE,SERIES
2011,-6.9,,PT,BN_CAB_XOKA_GD_ZS
2012,-9.7,,PT,BN_CAB_XOKA_GD_ZS
2013,-7.5,,PT,BN_CAB_XOKA_GD_ZS
2014,-11.3,,PT,BN_CAB_XOKA_GD_ZS
2015,-12.6,,PT,BN_CAB_XOKA_GD_ZS
2016,-15.2,,PT,BN_CAB_XOKA_GD_ZS
2017,-9.5,,PT,BN_CAB_XOKA_GD_ZS
2018,-10.1,,PT,BN_CAB_XOKA_GD_ZS
2019,-11.9,,PT,BN_CAB_XOKA_GD_ZS
2020,-12.1,,PT,BN_CAB_XOKA_GD_ZS
2021,-11.2,,PT,BN_CAB_XOKA_GD_ZS
2022,-9.4,,PT,BN_CAB_XOKA_GD_ZS
2023,-11.7,,PT,BN_CAB_XOKA_GD_ZS
2024,-11.6,,PT,BN_CAB_XOKA_GD_ZS
2014,-1.0,,USD,BN_KLT_PTXL_CD
2015,-7.9,,USD,BN_KLT_PTXL_CD
2016,-4.9,,USD,BN_KLT_PTXL_CD
2017,74.1,,USD,BN_KLT_PTXL_CD
2018,14.8,,USD,BN_KLT_PTXL_CD
2019,30.4,,USD,BN_KLT_PTXL_CD
2020,-36.7,,USD,BN_KLT_PTXL_CD
2021,-277.2,,USD,BN_KLT_PTXL_CD
2022,56.9,,USD,BN_KLT_PTXL_CD
2023,66.0,,USD,BN_KLT_PTXL_CD
2024,20.6,,USD,BN_KLT_PTXL_CD
2011,1.6,,PT,BX_KLT_DINV_WD_GD_ZS
2012,3.5,,PT,BX_KLT_DINV_WD_GD_ZS
2013,3.0,,PT,BX_KLT_DINV_WD_GD_ZS
2014,3.8,,PT,BX_KLT_DINV_WD_GD_ZS
2015,1.9,,PT,BX_KLT_DINV_WD_GD_ZS
2016,3.2,,PT,BX_KLT_DINV_WD_GD_ZS
2017,3.0,,PT,BX_KLT_DINV_WD_GD_ZS
2018,3.8,,PT,BX_KLT_DINV_WD_GD_ZS
2019,2.5,,PT,BX_KLT_DINV_WD_GD_ZS
2020,1.5,,PT,BX_KLT_DINV_WD_GD_ZS
2021,2.1,,PT,BX_KLT_DINV_WD_GD_ZS
2022,2.3,,PT,BX_KLT_DINV_WD_GD_ZS
2023,3.2,,PT,BX_KLT_DINV_WD_GD_ZS
2024,4.0,,PT,BX_KLT_DINV_WD_GD_ZS
2011,18.8,,PT,DP_DOD_DLD2_CR_CG_Z1
2012,19.5,,PT,DP_DOD_DLD2_CR_CG_Z1
2013,26.8,,PT,DP_DOD_DLD2_CR_CG_Z1
2014,28.7,,PT,DP_DOD_DLD2_CR_CG_Z1
2015,33.3,,PT,DP_DOD_DLD2_CR_CG_Z1
2016,37.7,,PT,DP_DOD_DLD2_CR_CG_Z1
2017,41.8,,PT,DP_DOD_DLD2_CR_CG_Z1
2018,45.7,,PT,DP_DOD_DLD2_CR_CG_Z1
2019,50.8,,PT,DP_DOD_DLD2_CR_CG_Z1
2020,67.2,,PT,DP_DOD_DLD2_CR_CG_Z1
2021,69.0,,PT,DP_DOD_DLD2_CR_CG_Z1
2022,64.1,,PT,DP_DOD_DLD2_CR_CG_Z1
2023,70.0,,PT,DP_DOD_DLD2_CR_CG_Z1
2024,75.8,,PT,DP_DOD_DLD2_CR_CG_Z1
2011,17.3,,PT,DT_DOD_DECT_GN_ZS
2012,18.5,,PT,DT_DOD_DECT_GN_ZS
2013,24.8,,PT,DT_DOD_DECT_GN_ZS
2014,25.6,,PT,DT_DOD_DECT_GN_ZS
2015,28.3,,PT,DT_DOD_DECT_GN_ZS
2016,48.1,,PT,DT_DOD_DECT_GN_ZS
2017,50.9,,PT,DT_DOD_DECT_GN_ZS
2018,55.4,,PT,DT_DOD_DECT_GN_ZS
2019,59.7,,PT,DT_DOD_DECT_GN_ZS
2020,75.0,,PT,DT_DOD_DECT_GN_ZS
2021,76.3,,PT,DT_DOD_DECT_GN_ZS
2022,68.0,,PT,DT_DOD_DECT_GN_ZS
2023,79.2,,PT,DT_DOD_DECT_GN_ZS
2024,86.5,,PT,DT_DOD_DECT_GN_ZS
2017,21.4,,PT,FB_BNK_CAPA_ZS
2018,25.5,,PT,FB_BNK_CAPA_ZS
2019,24.1,,PT,FB_BNK_CAPA_ZS
2020,21.5,,PT,FB_BNK_CAPA_ZS
2021,21.5,,PT,FB_BNK_CAPA_ZS
2022,21.7,,PT,FB_BNK_CAPA_ZS
2023,21.5,,PT,FB_BNK_CAPA_ZS
2024,20.5,,PT,FB_BNK_CAPA_ZS
2011,5.3,,NUMBER,FI_RES_TOTL_MO
2012,4.1,,NUMBER,FI_RES_TOTL_MO
2013,4.8,,NUMBER,FI_RES_TOTL_MO
2014,3.9,,NUMBER,FI_RES_TOTL_MO
2015,3.6,,NUMBER,FI_RES_TOTL_MO
2016,3.9,,NUMBER,FI_RES_TOTL_MO
2017,4.2,,NUMBER,FI_RES_TOTL_MO
2018,4.5,,NUMBER,FI_RES_TOTL_MO
2019,5.9,,NUMBER,FI_RES_TOTL_MO
2020,5.9,,NUMBER,FI_RES_TOTL_MO
2021,5.1,,NUMBER,FI_RES_TOTL_MO
2022,4.3,,NUMBER,FI_RES_TOTL_MO
2023,4.4,,NUMBER,FI_RES_TOTL_MO
2024,5.4,,NUMBER,FI_RES_TOTL_MO
2012,14.0,,PT,FM_LBL_BMNY_ZG
2013,15.5,,PT,FM_LBL_BMNY_ZG
2014,19.1,,PT,FM_LBL_BMNY_ZG
2015,21.1,,PT,FM_LBL_BMNY_ZG
2016,7.6,,PT,FM_LBL_BMNY_ZG
2017,12.4,,PT,FM_LBL_BMNY_ZG
2018,15.6,,PT,FM_LBL_BMNY_ZG
2019,15.4,,PT,FM_LBL_BMNY_ZG
2020,18.0,,PT,FM_LBL_BMNY_ZG
2021,15.7,,PT,FM_LBL_BMNY_ZG
2022,22.5,,PT,FM_LBL_BMNY_ZG
