Year,SERIES,REF_AREA,GeoCode,Value
2015,GR_G14_GDP,,,24.3
2016,GR_G14_GDP,,,23.5
2017,GR_G14_GDP,,,22.3
2018,GR_G14_GDP,,,23.3
2019,GR_G14_GDP,,,23.7
2020,GR_G14_GDP,,,23.5
2021,GR_G14_GDP,,,25.0
2022,GR_G14_GDP,,,26.0
