Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,4.6
2015,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,4.2
2016,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,4.6
2017,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,3.0
2018,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,4.0
2019,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,9.0
2020,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,5.0
2021,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,34.0
2022,Normal value,Units,Not Available,External Debt in nominal terms,Annual,National,External Debt in nominal terms,,Percent,,6.8
