Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Distribution of Households living in unplanned urban housing,,Urban,Percent,,62.6
2017,Distribution of Households living in unplanned urban housing,,Urban,Percent,,52.5
2022,Distribution of Households living in unplanned urban housing,,Urban,Percent,,25.0
2024,Distribution of Households living in unplanned urban housing,,Urban,Percent,,22.4
