Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2018,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,15910.0
2019,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,5691.0
2020,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,8098.0
2021,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,4808.0
2022,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,4156.0
2023,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,9955.0
2024,A,0,_X,Number of Houses damaged by disaster,A,N,_L_RW_110502_1,,NUMBER,,2005.0
2018,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,13337.0
2019,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,10610.0
2020,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,4661.5
2021,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,3802.3
2022,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,1917.7
2023,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,2176.3
2024,A,0,_X,Number of Ha for crops damaged,A,N,_L_RW_110502_2,,NUMBER,,1355.3
2018,A,0,_X,Number of Classrooms damaged,A,N,_L_RW_110502_3,,NUMBER,,73.0
2019,A,0,_X,Number of Classrooms damaged,A,N,_L_RW_110502_3,,NUMBER,,203.0
2020,A,0,_X,Number of Classrooms damaged,A,N,_L_RW_110502_3,,NUMBER,,96.0
2021,A,0,_X,Number of Classrooms damaged,A,N,_L_RW_110502_3,,NUMBER,,381.0
