Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2008,Normal value,Units,Not Available,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",Annual,National,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,Per million population,,10.9
2009,Normal value,Units,Not Available,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",Annual,National,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,Per million population,,12.6
2013,Normal value,Units,Not Available,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",Annual,National,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,Per million population,,15.5
2016,Normal value,Units,Not Available,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",Annual,National,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,Per million population,,13.9
2019,Normal value,Units,Not Available,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",Annual,National,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,Per million population,,58.8
