Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Prevalence of undernourishment [2.1.1],,Percent,,38.3
2018,Prevalence of undernourishment [2.1.1],,Percent,,37.6
2019,Prevalence of undernourishment [2.1.1],,Percent,,40.2
2020,Prevalence of undernourishment [2.1.1],,Percent,,38.8
2021,Prevalence of undernourishment [2.1.1],,Percent,,38.5
2022,Prevalence of undernourishment [2.1.1],,Percent,,35.3
2023,Prevalence of undernourishment [2.1.1],,Percent,,32.7
2024,Prevalence of undernourishment [2.1.1],,Percent,,31.3
2025,Prevalence of undernourishment [2.1.1],,Percent,,29.9
