Year,SERIES,REF_AREA,GeoCode,Value
2015,SH_STA_MALR,,,308
2021,SH_STA_MALR,,,114
2022,SH_STA_MALR,,,76
2023,SH_STA_MALR,,,47
2024,SH_STA_MALR,,,45
