Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Renewable energy share in the total final electricity generation,,Percent,,53.0
2017,Renewable energy share in the total final electricity generation,,Percent,,61.0
2020,Renewable energy share in the total final electricity generation,,Percent,,62.3
