Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.3
2021,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.1
2022,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.1
2023,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.2
