Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2000,Poverty headcount ratio at $3.00 a day (2021 PPP),,Percent,,82.3
2005,Poverty headcount ratio at $3.00 a day (2021 PPP),,Percent,,74.2
2010,Poverty headcount ratio at $3.00 a day (2021 PPP),,Percent,,70.2
2013,Poverty headcount ratio at $3.00 a day (2021 PPP),,Percent,,65.2
2016,Poverty headcount ratio at $3.00 a day (2021 PPP),,Percent,,63.8
2023,Poverty headcount ratio at $3.00 a day (2021 PPP),,Percent,,38.6
