Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2010,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,,63.4
2015,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,,63.9
2020,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,,73.7
2010,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Urban,Percent,,66.8
2015,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Urban,Percent,,66.6
2020,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Urban,Percent,,72.3
2010,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Rural,Percent,,62.8
2015,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Rural,Percent,,63.3
2020,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Rural,Percent,,74.0
