Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,,3.2
2020,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,,3.2
