Year,SERIES,Reference area,GeoCode,Value
2019,Proportion of population reporting having felt discriminated against [16.b.1],,,0.3
2021,Proportion of population reporting having felt discriminated against [16.b.1],,,0.1
2022,Proportion of population reporting having felt discriminated against [16.b.1],,,0.1
2023,Proportion of population reporting having felt discriminated against [16.b.1],,,0.2
