Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2012,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,,Percent,,10.1
2016,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,,Percent,,35.0
2021,Percentage of terrestrial and freshwater biodivesities that are covered by protected areas,,Percent,,53.0
