Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,,Percent,,6.9
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,,Percent,,7.7
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,,Percent,,10.3
2021,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,,Percent,,12.1
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,,Percent,,12.7
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Urban,Percent,,37.9
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Urban,Percent,,39.3
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Urban,Percent,,46.3
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Urban,Percent,,39.4
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Rural,Percent,,1.4
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Rural,Percent,,1.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Rural,Percent,,1.7
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],,Rural,Percent,,1.7
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyaruguru,,Percent,23,1.7
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyaruguru,,Percent,23,0.8
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyaruguru,,Percent,23,1.1
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyaruguru,,Percent,23,1.4
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rusizi,,Percent,36,6.7
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rusizi,,Percent,36,5.1
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rusizi,,Percent,36,4.2
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rusizi,,Percent,36,3.4
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamagabe,,Percent,25,0.4
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamagabe,,Percent,25,0.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamagabe,,Percent,25,1.0
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamagabe,,Percent,25,2.1
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamasheke,,Percent,37,1.7
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamasheke,,Percent,37,0.6
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamasheke,,Percent,37,1.7
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyamasheke,,Percent,37,0.8
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kayonza,,Percent,54,1.2
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kayonza,,Percent,54,4.1
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kayonza,,Percent,54,1.3
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Kayonza,,Percent,54,6.3
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gatsibo,,Percent,53,0.5
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gatsibo,,Percent,53,2.4
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gatsibo,,Percent,53,1.2
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Gatsibo,,Percent,53,1.0
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Musanze,,Percent,43,1.2
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Musanze,,Percent,43,4.2
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Musanze,,Percent,43,6.8
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Musanze,,Percent,43,12.5
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyagatare,,Percent,52,6.8
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyagatare,,Percent,52,6.1
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyagatare,,Percent,52,5.5
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyagatare,,Percent,52,5.2
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rutsiro,,Percent,32,1.6
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rutsiro,,Percent,32,0.8
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rutsiro,,Percent,32,2.3
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Rutsiro,,Percent,32,2.7
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Karongi,,Percent,31,1.2
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Karongi,,Percent,31,1.3
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Karongi,,Percent,31,2.3
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Karongi,,Percent,31,3.2
2011,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyabihu,,Percent,34,2.6
2014,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyabihu,,Percent,34,0.6
2017,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyabihu,,Percent,34,3.5
2024,Percentage of households using rubbish collection service or publicly managed refuse area [11.6.1],Nyabihu,,Percent,34,4.0
