Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,77.3
2018,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,96.7
2019,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2020,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2021,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2022,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2023,Normal value,Units,Not Available,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Annual,National,Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
