Year,SERIES,Reference area,GeoCode,Value
2015,Percentage  of citizens who have encountered corruption while interacting with service providers,,,17.5
2016,Percentage  of citizens who have encountered corruption while interacting with service providers,,,24.4
2017,Percentage  of citizens who have encountered corruption while interacting with service providers,,,23.9
2018,Percentage  of citizens who have encountered corruption while interacting with service providers,,,20.4
2019,Percentage  of citizens who have encountered corruption while interacting with service providers,,,18.5
2020,Percentage  of citizens who have encountered corruption while interacting with service providers,,,19.2
2021,Percentage  of citizens who have encountered corruption while interacting with service providers,,,22.9
2022,Percentage  of citizens who have encountered corruption while interacting with service providers,,,29.1
2023,Percentage  of citizens who have encountered corruption while interacting with service providers,,,23.5
2024,Percentage  of citizens who have encountered corruption while interacting with service providers,,,13.2
