Year,SERIES,Reference area,GeoCode,Value
2016,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,79.0
2017,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,87.0
2018,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,88.0
2019,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,87.1
2020,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,80.3
2021,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,80.0
2022,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,80.0
2023,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,80.0
2024,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,80.0
